"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"PLRG1"	"4.75"	"2.5"	"2.51666666666667"	"0"	"16.0166666666667"	"4.08333333333333"	"0.05"	"0.0333333333333333"
"BCAS2"	"54.3666666666667"	"7.92666666666667"	"52.0533333333333"	"3.06"	"17.46"	"3.59333333333333"	"0.84"	"20.78"
"HSPA8"	"282.45"	"1434.7"	"1397.15"	"12.3"	"76.85"	"629.9"	"85.4"	"19.95"
"HEL-S-72p"	"282.45"	"1434.7"	"1397.15"	"12.3"	"76.85"	"629.9"	"85.4"	"19.95"
"CTNNBL1"	"31.83"	"16.08"	"37.21"	"41.23"	"33.07"	"7.95"	"40.71"	"14.25"
"CDC5L"	"3.39"	"4.91"	"7.04666666666667"	"5.97666666666667"	"3.49666666666667"	"4.81333333333333"	"5.54"	"2.58"
"CWC15"	"15.28"	"14"	"5.12333333333333"	"9.71"	"23.4866666666667"	"5.30333333333333"	"7.71666666666667"	"6.31"
"PRPF19"	"54.1333333333333"	"14.3"	"33.4166666666667"	"50.2833333333333"	"60.25"	"32.4166666666667"	"17.8333333333333"	"13.9333333333333"
"CPX-5824"	"3.39"	"2.5"	"2.51666666666667"	"0"	"3.49666666666667"	"3.59333333333333"	"0.05"	"0.0333333333333333"
