"KPNA4_000"	"KPNB1_000"	"KPNA4_002"	"KPNB1_002"	"KPNA4_008"	"KPNB1_008"	"KPNA4_024"	"KPNB1_024"	"KPNA4_072"	"KPNB1_072"	"KPNA4_168"	"KPNB1_168"	"KPNA4_240"	"KPNB1_240"	"KPNA4_336"	"KPNB1_336"
"KPNA4_000"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"KPNB1_000"	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
"KPNA4_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_002"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
"KPNA4_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_008"	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0
"KPNA4_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_024"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
"KPNA4_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"KPNB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA4_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA4_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA4_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
