"ITGB1_000"	"ITGA3_000"	"ITGB1_002"	"ITGA3_002"	"ITGB1_008"	"ITGA3_008"	"ITGB1_024"	"ITGA3_024"	"ITGB1_072"	"ITGA3_072"	"ITGB1_168"	"ITGA3_168"	"ITGB1_240"	"ITGA3_240"	"ITGB1_336"	"ITGA3_336"
"ITGB1_000"	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0
"ITGA3_000"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
"ITGB1_002"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
"ITGA3_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA3_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_024"	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0
"ITGA3_024"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"ITGB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA3_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA3_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA3_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA3_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
