"Complex"	"Index"	"Subunit"	"Cor"
"CPX-1195"	"10"	"DPF2"	"0.808450980491086"
"CPX-1195"	"9"	"BCL7C"	"0.93333090892813"
"CPX-1195"	"14"	"BCL7B"	"1.51731029864338"
"CPX-1195"	"12"	"SMARCE1"	"1.54853801194622"
"CPX-1196"	"2"	"SMARCA4"	"0"
"CPX-1196"	"15"	"CPX-1196"	"0"
"CPX-1196"	"5"	"SMARCB1"	"0"
"CPX-1196"	"6"	"ARID2"	"0.000643486791011671"
"CPX-1196"	"10"	"SMARCC1"	"0.0125362859721021"
"CPX-1196"	"9"	"PHF10"	"0.0331075767229866"
"CPX-1196"	"3"	"ACTB"	"0.12761876991947"
"CPX-1196"	"4"	"PS1TP5BP1"	"0.12761876991947"
"CPX-1196"	"13"	"SMARCD1"	"0.338066214154516"
"CPX-1196"	"14"	"BRD7"	"0.549059897061072"
"CPX-1196"	"7"	"PBRM1"	"0.866153268041192"
"CPX-1196"	"11"	"SMARCD2"	"1.1387584355926"
"CPX-1196"	"8"	"SMARCC2"	"1.55630907148213"
"CPX-1196"	"12"	"SMARCE1"	"1.64035839366777"
"CPX-1199"	"5"	"SMARCB1"	"0"
"CPX-1199"	"15"	"CPX-1199"	"0"
"CPX-1199"	"6"	"ARID2"	"0.000651410150902976"
"CPX-1199"	"10"	"SMARCC1"	"0.0127892546095739"
"CPX-1199"	"9"	"PHF10"	"0.0342015015014709"
"CPX-1199"	"1"	"ACTL6A"	"0.0779713123592788"
"CPX-1199"	"4"	"PS1TP5BP1"	"0.129875349250245"
"CPX-1199"	"3"	"ACTB"	"0.129875349250245"
"CPX-1199"	"13"	"SMARCD1"	"0.340860281537844"
"CPX-1199"	"14"	"BRD7"	"0.566220838170658"
"CPX-1199"	"7"	"PBRM1"	"0.860209488893886"
"CPX-1199"	"11"	"SMARCD2"	"1.13276326841928"
"CPX-1199"	"8"	"SMARCC2"	"1.5706611320804"
"CPX-1199"	"12"	"SMARCE1"	"1.63781725932374"
"CPX-1201"	"3"	"SMARCA2"	"0"
"CPX-1201"	"13"	"CPX-1201"	"0"
