"ITGB1_000"	"ITGA5_000"	"ITGB1_002"	"ITGA5_002"	"ITGB1_008"	"ITGA5_008"	"ITGB1_024"	"ITGA5_024"	"ITGB1_072"	"ITGA5_072"	"ITGB1_168"	"ITGA5_168"	"ITGB1_240"	"ITGA5_240"	"ITGB1_336"	"ITGA5_336"
"ITGB1_000"	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1
"ITGA5_000"	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0
"ITGB1_002"	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
"ITGA5_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA5_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA5_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA5_072"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"ITGB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA5_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA5_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA5_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
