"ITGB1_000"	"ITGA1_000"	"ITGB1_002"	"ITGA1_002"	"ITGB1_008"	"ITGA1_008"	"ITGB1_024"	"ITGA1_024"	"ITGB1_072"	"ITGA1_072"	"ITGB1_168"	"ITGA1_168"	"ITGB1_240"	"ITGA1_240"	"ITGB1_336"	"ITGA1_336"
"ITGB1_000"	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
"ITGA1_000"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ITGB1_002"	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0
"ITGA1_002"	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
"ITGB1_008"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
"ITGA1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
