"KPNA6_000"	"KPNB1_000"	"KPNA6_002"	"KPNB1_002"	"KPNA6_008"	"KPNB1_008"	"KPNA6_024"	"KPNB1_024"	"KPNA6_072"	"KPNB1_072"	"KPNA6_168"	"KPNB1_168"	"KPNA6_240"	"KPNB1_240"	"KPNA6_336"	"KPNB1_336"
"KPNA6_000"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_000"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA6_002"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"KPNB1_002"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA6_008"	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0
"KPNB1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA6_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"KPNB1_024"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"KPNA6_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_072"	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1
"KPNA6_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA6_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA6_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
