"CDK4_000"	"CCND2_000"	"CDK4_002"	"CCND2_002"	"CDK4_008"	"CCND2_008"	"CDK4_024"	"CCND2_024"	"CDK4_072"	"CCND2_072"	"CDK4_168"	"CCND2_168"	"CDK4_240"	"CCND2_240"	"CDK4_336"	"CCND2_336"
"CDK4_000"	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0
"CCND2_000"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"CDK4_002"	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
"CCND2_002"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
"CDK4_008"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"CCND2_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND2_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND2_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND2_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"CDK4_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND2_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND2_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
