"KPNA2_000"	"KPNB1_000"	"KPNA2_002"	"KPNB1_002"	"KPNA2_008"	"KPNB1_008"	"KPNA2_024"	"KPNB1_024"	"KPNA2_072"	"KPNB1_072"	"KPNA2_168"	"KPNB1_168"	"KPNA2_240"	"KPNB1_240"	"KPNA2_336"	"KPNB1_336"
"KPNA2_000"	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
"KPNB1_000"	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA2_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_002"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"KPNA2_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_008"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
"KPNA2_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_024"	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
"KPNA2_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
"KPNA2_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA2_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA2_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
