Complex	Index	Subunit	zScore-dis
CPX-2955	2	GABBR1	4.898979486
CPX-3071	1	KCNJ2	4
CPX-3072	2	KCNH2	0.822612325
CPX-3072	1	KCNE1	5.022853344
CPX-3073	3	CPX-3073	0
CPX-3073	1	KCNH2	4.898979486
CPX-3079	1	USF1	1.732050808
CPX-3079	2	USF2	4.582575695
CPX-308	3	CPX-308	0
CPX-308	1	DDB1	4.898979486
CPX-3082	1	USF1	4
CPX-3083	1	USF2	4
CPX-3111	1	SLC2A1	4
CPX-312	3	SCNN1G	0
CPX-312	4	SCNN1D	0
CPX-312	5	CPX-312	0
CPX-312	1	SCNN1A	6.32455532
CPX-313	2	SCNN1G	NA
CPX-313	3	SCNN1D	NA
CPX-313	4	CPX-313	NA
CPX-3135	2	CPX-3135	NA
CPX-3138	3	CPX-3138	0
CPX-3138	1	KIF3B	4.898979486
CPX-3141	3	CPX-3141	0
CPX-3141	1	CDK5	4.898979486
CPX-3153	1	PTEN	4
CPX-3156	1	RYR2	4
CPX-316	3	CPX-316	0
CPX-316	1	CTNNB1	4.898979486
CPX-3162	2	CPX-3162	NA
CPX-3168	1	MAT1A	4
CPX-3169	1	MAT1A	4
CPX-3186	3	CPX-3186	0
CPX-3186	1	RAMP2	4.898979486
CPX-3187	2	CALCR	NA
CPX-3187	3	CPX-3187	NA
CPX-3199	3	CPX-3199	0
CPX-3199	1	KIF3C	4.898979486
CPX-3200	3	KIF3A	0
CPX-3200	1	KIF3C	3.811959285
CPX-3200	2	KIFAP3	4.886744924
CPX-3201	4	CPX-3201	0
CPX-3201	2	KIFAP3	4.465841486
CPX-3201	1	KIF3B	4.880709578
CPX-3219	1	PER2	3
CPX-3219	2	CRY1	3.872983346
CPX-3220	2	CRY2	3.464101615
CPX-3220	1	PER2	3.464101615
CPX-3221	1	PER1	3.207134903
CPX-3221	2	CRY2	3.703280399
CPX-3222	2	CRY1	3.464101615
CPX-3222	1	PER1	3.464101615
CPX-3223	1	PER3	3
CPX-3223	2	CRY1	3.872983346
CPX-3224	2	CRY2	3.464101615
CPX-3224	1	PER3	3.464101615
CPX-3227	29	MED16	0
CPX-3227	26	MED29	0
CPX-3227	18	MED15	0
CPX-3227	31	CPX-3227	0
CPX-3227	24	MED17	0.003477131
CPX-3227	17	MED30	0.015248706
CPX-3227	23	MED4	0.046180048
CPX-3227	28	MED23	0.077850636
CPX-3227	6	MED6	0.092841691
CPX-3227	20	MED18	0.153661287
CPX-3227	19	MED10	0.181012769
CPX-3227	12	MED1	0.207980568
CPX-3227	21	MED28	0.387372676
CPX-3227	30	MED31	0.49846405
CPX-3227	8	SURB7	0.509808725
CPX-3227	9	MED21	0.509808725
CPX-3227	15	MED25	0.972110924
CPX-3227	16	MED8	1.217463558
CPX-3227	7	MED26	1.245290413
CPX-3227	4	MED14	1.680865655
CPX-3227	5	MED24	1.918990771
CPX-3227	2	CRSP9	2.01984442
CPX-3227	3	MED7	2.01984442
CPX-3227	22	MED20	2.157369015
CPX-3227	25	MED9	2.699158608
CPX-3227	14	CRSP8	5.055690948
CPX-3227	13	MED27	5.055690948
CPX-3227	11	MED22	5.869381948
CPX-3227	10	SURF5	5.869381948
CPX-3227	27	MED11	11.6241449
CPX-3229	1	ARNTL	0
CPX-3229	2	CLOCK	4.898979486
CPX-3230	3	CPX-3230	0
CPX-3230	1	CLOCK	4.898979486
CPX-3232	6	CPX-3232	0
CPX-3232	1	CCNC	2.169329731
CPX-3232	3	MED12	4.432962731
CPX-3232	5	MED13	5.285828882
CPX-3232	4	THRAP1	5.285828882
CPX-3239	1	KCNIP2	0
CPX-3239	2	KCND2	4.898979486
CPX-3256	1	KCNIP1	0
CPX-3256	2	KCND3	4.898979486
CPX-3263	3	CDK19	0
CPX-3263	1	CCNC	2.169329731
CPX-3263	2	MED12	4.432962731
CPX-3263	5	MED13	5.285828882
CPX-3263	4	THRAP1	5.285828882
CPX-3271	2	KCNQ1	1.732050808
CPX-3271	1	KCNE1	4.582575695
CPX-3272	1	OIP5	2.312887846
CPX-3272	2	MIS18BP1	2.402241892
CPX-3272	3	MIS18A	4.814997659
CPX-3278	3	CPX-3278	0
CPX-3278	1	KCNJ5	4.898979486
CPX-3282	3	PDCD6IP	0.305757946
CPX-3282	1	SDCBP	0.400604907
CPX-3282	2	SDC1	5.744922317
CPX-329	6	CHMP4A	0
CPX-329	3	CHMP7	0.186991645
CPX-329	10	CHMP2B	0.243590409
CPX-329	4	CHMP4C	0.522867866
CPX-329	2	CHMP1B	0.697705597
CPX-329	11	CHMP3	1.22969899
CPX-329	9	CHMP5	1.418820053
CPX-329	8	CHMP1A	2.228857701
CPX-329	7	CHMP4B	2.580177531
CPX-329	5	CHMP6	4.745019901
CPX-329	1	CHMP2A	8.976378117
CPX-330	1	CCNC	1.732050808
CPX-330	2	CDK3	4.582575695
CPX-3321	11	ING2	0.001070207
CPX-3321	9	HDAC2	0.005449341
CPX-3321	15	ING1	0.048531768
CPX-3321	7	ARID4B	0.052186331
CPX-3321	13	SAP30L	0.156012708
CPX-3321	8	BRMS1L	0.157325964
CPX-3321	14	BRMS1	0.265428084
CPX-3321	12	SUDS3	0.370024409
CPX-3321	2	ARID4A	0.613645144
CPX-3321	1	SAP30	1.120425121
CPX-3321	3	RBBP4	2.392208995
CPX-3321	5	SF3B3	3.26429125
CPX-3321	6	RBBP7	4.753259882
CPX-3321	4	HDAC1	6.506199474
CPX-3321	10	SIN3A	8.427523358
CPX-3322	16	CPX-3322	0
CPX-3322	11	ING2	0.001334983
CPX-3322	10	HDAC2	0.005884011
CPX-3322	15	ING1	0.061112399
CPX-3322	8	ARID4B	0.071938908
CPX-3322	9	BRMS1L	0.199022852
CPX-3322	14	BRMS1	0.305139928
CPX-3322	13	SAP30L	0.325016136
CPX-3322	12	SUDS3	0.48716091
CPX-3322	3	ARID4A	1.440315377
CPX-3322	2	SAP30	1.670851057
CPX-3322	4	RBBP4	2.896024978
CPX-3322	7	RBBP7	5.432066665
CPX-3322	6	SF3B3	5.4532744
CPX-3322	5	HDAC1	8.664013871
CPX-3323	13	ING2	0.001150157
CPX-3323	11	HDAC2	0.005877068
CPX-3323	18	ING1	0.05207628
CPX-3323	8	ARID4B	0.056522684
CPX-3323	9	BRMS1L	0.168789643
CPX-3323	15	SAP30L	0.168821153
CPX-3323	16	BRMS1	0.286593279
CPX-3323	10	TET1	0.30430811
CPX-3323	14	SUDS3	0.400494546
CPX-3323	17	SINHCAF	0.595709337
CPX-3323	3	ARID4A	0.663294464
CPX-3323	1	OGT	0.78540727
CPX-3323	2	SAP30	1.204445943
CPX-3323	4	RBBP4	2.57828534
CPX-3323	6	SF3B3	3.535609115
CPX-3323	7	RBBP7	5.114785931
CPX-3323	5	HDAC1	7.033135511
CPX-3323	12	SIN3A	9.10883554
CPX-338	2	VPS4A	3.464101615
CPX-338	1	VPS4B	3.464101615
CPX-3403	3	PRKDC	0.076522633
CPX-3403	1	XRCC6	4.268122494
CPX-3403	2	XRCC5	4.548328733
CPX-3481	1	SHLD3	0.025549005
CPX-3481	3	SHLD1	0.063355192
CPX-3481	2	SHLD2	0.08309449
CPX-3481	4	MAD2L2	6.350945159
CPX-35	1	NPR1	4
CPX-354	4	CPX-354	0
CPX-354	3	ATG5	0.309386177
CPX-354	1	ATG12	5.687381657
CPX-356	3	CPX-356	0
CPX-356	1	ATG12	4.898979486
CPX-358	4	CPX-358	0
CPX-358	2	TECPR1	1.773466413
CPX-358	1	ATG12	5.829275564
CPX-359	1	CCNK	3.464101615
CPX-359	3	CDC2L5	3.872983346
CPX-359	2	CDK13	3.872983346
CPX-3622	3	TREX1	0
CPX-3622	4	CPX-3622	0
CPX-3622	1	ATR	5.656854249
CPX-3624	3	CPX-3624	0
CPX-3624	1	NCBP1	4.898979486
CPX-364	1	CDK14	0
CPX-364	2	CCNY	4.898979486
CPX-373	3	RB1CC1	0.188818266
CPX-373	2	ULK1	0.593328679
CPX-373	5	C12orf44	2.016745519
CPX-373	4	ATG101	2.016745519
CPX-373	1	ATG13	7.185716938
CPX-3946	5	CPX-3946	0
CPX-3946	4	MAD2L1	0.059825095
CPX-3946	3	CDC20	2.775580729
CPX-3946	1	BUB3	6.321539712
CPX-4082	4	CPX-4082	0
CPX-4082	1	CASP1	2.397692681
CPX-4082	3	PYCARD	5.279670726
CPX-4084	12	BICRA	0
CPX-4084	13	CPX-4084	0
CPX-4084	8	SMARCC1	0.000225326
CPX-4084	1	ACTL6A	0.000664939
CPX-4084	6	BCL7A	0.001427535
CPX-4084	9	SMARCD1	0.001510123
CPX-4084	11	BRD9	0.00221677
CPX-4084	7	BCL7C	0.016953776
CPX-4084	10	BCL7B	0.017106827
CPX-4084	5	SS18	0.03233997
CPX-4084	3	PS1TP5BP1	7.536014727
CPX-4084	4	ACTB	7.536014727
CPX-4108	1	COL1A1	4
CPX-414	1	ASXL1	0
CPX-414	2	BAP1	4.898979486
CPX-4141	4	CPX-4141	0
CPX-4141	1	CASP1	2.397692681
CPX-4141	3	PYCARD	5.279670726
CPX-4142	1	AIM2	0
CPX-4142	2	CASP1	2.397692681
CPX-4142	3	PYCARD	5.279670726
CPX-4143	1	MEFV	0
CPX-4143	2	CASP1	2.397692681
CPX-4143	3	PYCARD	5.279670726
CPX-4144	5	CPX-4144	0
CPX-4144	1	CASP1	2.486581922
CPX-4144	3	NLRC4	2.793587204
CPX-4144	4	PYCARD	5.464056113
CPX-415	4	RFC5	0.295685738
CPX-415	2	RFC2	0.735413619
CPX-415	5	RFC3	2.582774074
CPX-415	1	RFC4	2.737078799
CPX-415	3	RFC1	6.310912862
CPX-419	3	CPX-419	0
CPX-419	1	SSRP1	4.898979486
CPX-4203	13	CPX-4203	0
CPX-4203	9	SMARCC1	0.000225328
CPX-4203	1	ACTL6A	0.000664944
CPX-4203	7	BICRAL	0.001011381
CPX-4203	6	BCL7A	0.001427547
CPX-4203	10	SMARCD1	0.001510134
CPX-4203	12	BRD9	0.002216804
CPX-4203	8	BCL7C	0.016953944
CPX-4203	11	BCL7B	0.017107046
CPX-4203	5	SS18	0.032340111
CPX-4203	3	PS1TP5BP1	7.53609529
CPX-4203	4	ACTB	7.53609529
CPX-4206	12	BICRA	0
CPX-4206	13	CPX-4206	0
CPX-4206	8	SMARCC1	0.000225326
CPX-4206	1	ACTL6A	0.000664939
CPX-4206	6	BCL7A	0.001427535
CPX-4206	9	SMARCD1	0.001510123
CPX-4206	11	BRD9	0.00221677
CPX-4206	7	BCL7C	0.016953776
CPX-4206	10	BCL7B	0.017106827
CPX-4206	5	SS18	0.03233997
CPX-4206	3	PS1TP5BP1	7.536014727
CPX-4206	4	ACTB	7.536014727
CPX-4207	13	CPX-4207	0
CPX-4207	9	SMARCC1	0.000225328
CPX-4207	1	ACTL6A	0.000664944
CPX-4207	7	BICRAL	0.001011381
CPX-4207	6	BCL7A	0.001427547
CPX-4207	10	SMARCD1	0.001510134
CPX-4207	12	BRD9	0.002216804
CPX-4207	8	BCL7C	0.016953944
CPX-4207	11	BCL7B	0.017107046
CPX-4207	5	SS18	0.032340111
CPX-4207	3	PS1TP5BP1	7.53609529
CPX-4207	4	ACTB	7.53609529
CPX-4223	2	SMARCA2	0
CPX-4223	12	BICRA	0
CPX-4223	13	CPX-4223	0
CPX-4223	8	SMARCC1	0.000225324
CPX-4223	6	BCL7A	0.00142753
CPX-4223	9	SMARCD1	0.001510121
CPX-4223	11	BRD9	0.00221677
CPX-4223	7	BCL7C	0.016953642
CPX-4223	10	BCL7B	0.017106805
CPX-4223	5	SS18	0.032339524
CPX-4223	3	PS1TP5BP1	7.535980948
CPX-4223	4	ACTB	7.535980948
CPX-4224	2	SMARCA2	0
CPX-4224	13	CPX-4224	0
CPX-4224	9	SMARCC1	0.000225326
CPX-4224	7	BICRAL	0.001011378
CPX-4224	6	BCL7A	0.001427541
CPX-4224	10	SMARCD1	0.001510131
CPX-4224	12	BRD9	0.002216804
CPX-4224	8	BCL7C	0.01695381
CPX-4224	11	BCL7B	0.017107024
CPX-4224	5	SS18	0.032339665
CPX-4224	4	ACTB	7.536061509
CPX-4224	3	PS1TP5BP1	7.536061509
CPX-4225	2	SMARCA4	0
CPX-4225	12	BICRA	0
CPX-4225	13	CPX-4225	0
CPX-4225	8	SMARCC1	0.000225324
CPX-4225	6	BCL7A	0.00142753
CPX-4225	9	SMARCD1	0.001510121
CPX-4225	11	BRD9	0.00221677
CPX-4225	7	BCL7C	0.016953642
CPX-4225	10	BCL7B	0.017106805
CPX-4225	5	SS18	0.032339524
CPX-4225	3	PS1TP5BP1	7.535980948
CPX-4225	4	ACTB	7.535980948
CPX-4226	2	SMARCA4	0
CPX-4226	13	CPX-4226	0
CPX-4226	9	SMARCC1	0.000225326
CPX-4226	7	BICRAL	0.001011378
CPX-4226	6	BCL7A	0.001427541
CPX-4226	10	SMARCD1	0.001510131
CPX-4226	12	BRD9	0.002216804
CPX-4226	8	BCL7C	0.01695381
CPX-4226	11	BCL7B	0.017107024
CPX-4226	5	SS18	0.032339665
CPX-4226	4	ACTB	7.536061509
CPX-4226	3	PS1TP5BP1	7.536061509
CPX-4302	1	CAPNS1	3
CPX-4302	2	CAPN1	3.872983346
CPX-432	1	SMARCA5	1.732050808
CPX-432	2	BAZ2A	4.582575695
CPX-434	2	BAZ1A	3.807451876
CPX-434	1	SMARCA5	4.514148224
CPX-439	5	CPX-439	0
CPX-439	1	APC	2.838231358
CPX-439	2	CSNK1A1	3.376213102
CPX-439	3	GSK3B	6.103032397
CPX-440	1	APC2	0.006128749
CPX-440	4	AXIN2	0.398170362
CPX-440	2	CSNK1A1	3.338698509
CPX-440	3	GSK3B	6.016114879
CPX-441	4	AXIN2	0.098738929
CPX-441	3	GSK3A	0.960613016
CPX-441	2	CSNK1A1	4.961519509
CPX-441	1	APC	5.088716275
CPX-442	5	CPX-442	0
CPX-442	4	GSK3A	0.996447638
CPX-442	1	AXIN1	3.451764863
CPX-442	3	CSNK1A1	5.694787961
CPX-443	1	APC2	0.01822387
CPX-443	4	AXIN2	0.414662529
CPX-443	3	GSK3A	2.490096445
CPX-443	2	CSNK1A1	6.039892161
CPX-446	2	CECR2	3.464101615
CPX-446	1	SMARCA1	3.464101615
CPX-455	2	RSF1	3
CPX-455	1	SMARCA5	3.872983346
CPX-459	3	CPX-459	0
CPX-459	1	GSK3B	4.898979486
CPX-462	1	FRAT2	0
CPX-462	2	GSK3B	4.898979486
CPX-466	1	TNC	4
CPX-467	4	CPX-467	0
CPX-467	2	SUV39H1	3.809658736
CPX-467	1	RRP8	4.817349935
CPX-469	4	CPX-469	0
CPX-469	2	CBX3	4.315617993
CPX-469	1	RB1	4.464252978
CPX-4741	4	LAMTOR3	0.007844083
CPX-4741	5	LAMTOR2	0.868122305
CPX-4741	1	LAMTOR5	1.753198099
CPX-4741	2	LAMTOR4	2.066321442
CPX-4741	3	LAMTOR1	6.944985544
CPX-475	3	CPX-475	0
CPX-475	1	VTN	4.898979486
CPX-4750	5	TRAPPC11	0.021690198
CPX-4750	4	TRAPPC2	0.206781292
CPX-4750	3	ZNF547	0.206781292
CPX-4750	10	TRAPPC8	0.217717836
CPX-4750	9	TRAPPC4	1.218143302
CPX-4750	2	TRAPPC6A	1.260154111
CPX-4750	7	TRAPPC12	2.327185447
CPX-4750	8	TRAPPC2L	2.512145322
CPX-4750	1	TRAPPC3	3.11640814
CPX-4750	6	TRAPPC5	4.089050197
CPX-4750	11	TRAPPC1	8.585770492
CPX-477	2	CUL4A	0.128863197
CPX-477	4	DDB2	0.38511196
CPX-477	1	RBX1	0.630166919
CPX-477	3	DDB1	6.451977512
CPX-480	3	NFATC2	0.174037768
CPX-480	1	FOS	2.843752703
CPX-480	2	JUN	5.549277619
CPX-482	4	INIP	0.217015653
CPX-482	1	INTS3	0.262781976
CPX-482	3	NABP2	5.259534376
CPX-482	2	OBFC2B	5.259534376
CPX-483	1	PLAU	0
CPX-483	2	SERPINE1	4.898979486
CPX-484	2	SLX4	3.184438586
CPX-484	1	TERF2	4.690820295
CPX-485	4	CPX-485	0
CPX-485	2	HEL-S-71	4.898979486
CPX-485	1	UBE2N	4.898979486
CPX-486	1	FOS	1.732050808
CPX-486	2	JUN	4.582575695
CPX-487	2	PLAUR	3.464101615
CPX-487	1	PLAU	3.464101615
CPX-489	1	OSBP	1.732050808
CPX-489	2	VAPA	4.582575695
CPX-494	1	PLAT	0
CPX-494	2	SERPINE1	4.898979486
CPX-4943	4	EXOC6	0.033846582
CPX-4943	1	EXOC5	0.21456973
CPX-4943	3	EXOC8	0.437835082
CPX-4943	7	EXOC1	0.991447104
CPX-4943	5	EXOC4	1.876867875
CPX-4943	6	EXOC2	2.459267009
CPX-4943	2	EXOC3	4.741201663
CPX-4943	8	EXOC7	7.761198113
CPX-4944	1	EXOC5	0.202345151
CPX-4944	3	EXOC8	0.421531581
CPX-4944	6	EXOC1	0.952355955
CPX-4944	4	EXOC4	1.900258716
CPX-4944	8	EXOC6B	2.259504338
CPX-4944	5	EXOC2	2.51497041
CPX-4944	2	EXOC3	4.827477624
CPX-4944	7	EXOC7	7.823156782
CPX-497	1	MEN1	0
CPX-497	2	JUND	4.898979486
CPX-5001	3	FLJ22688	0
CPX-5001	5	CPX-5001	0
CPX-5001	1	WDPCP	0
CPX-5001	4	INTU	6.32455532
CPX-501	1	PLAU	0.016772978
CPX-501	3	PLAUR	0.151354204
CPX-501	2	VTN	5.690547197
CPX-502	1	HEXA	0
CPX-502	2	HEXB	4.898979486
CPX-5021	7	CPX-5021	0
CPX-5021	5	IFT122	0
CPX-5021	3	IFT43	0.986705132
CPX-5021	1	TTC21B	4.038847989
CPX-5021	6	WDR35	4.056311098
CPX-5021	4	IFT140	5.0007069
CPX-5022	15	IFT80	0
CPX-5022	13	C11orf60	0
CPX-5022	12	IFT46	0
CPX-5022	5	TRAF3IP1	0
CPX-5022	19	CPX-5022	0
CPX-5022	4	TTC30B	0.802501744
CPX-5022	17	IFT52	1.026471898
CPX-5022	6	IFT81	1.846927791
CPX-5022	18	HSPB11	2.090223115
CPX-5022	16	IFT172	2.204087581
CPX-5022	7	CLUAP1	2.60814278
CPX-5022	8	IFT74	3.005747953
CPX-5022	9	IFT27	4.079353766
CPX-5022	10	IFT22	4.331803001
CPX-5022	11	RABL5	4.331803001
CPX-5022	3	IFT20	5.047122276
CPX-5022	2	IFT88	5.485677735
CPX-5022	14	IFT57	5.787751724
CPX-5029	10	CPX-5029	0
CPX-5029	7	BORCS6	0.045248776
CPX-5029	4	BORCS5	0.047240364
CPX-5029	5	BORCS7	0.066320516
CPX-5029	3	BLOC1S2	0.277504202
CPX-5029	1	SNAPIN	0.486540366
CPX-5029	2	BLOC1S1	4.538055429
CPX-5029	9	MGC2749	6.341655131
CPX-5029	8	KXD1	6.341655131
CPX-5043	3	CPX-5043	0
CPX-5043	1	HPS1	4.898979486
CPX-5044	2	HPS3	0.048542199
CPX-5044	3	HPS5	2.837424341
CPX-5044	1	HPS6	5.244312349
CPX-5047	4	AP1M1	0.084705017
CPX-5047	3	AP1B1	2.472706516
CPX-5047	2	AP1S1	4.612720553
CPX-5047	1	AP1G1	5.72655175
CPX-5048	4	AP1M1	0.472272592
CPX-5048	2	AP1S2	0.798948468
CPX-5048	3	AP1B1	2.723982599
CPX-5048	1	AP1G1	6.45043017
CPX-5049	4	AP1M1	0.455511614
CPX-5049	3	AP1S3	2.140043151
CPX-5049	2	AP1B1	2.624195094
CPX-5049	1	AP1G1	6.372988638
CPX-5050	5	CPX-5050	0
CPX-5050	3	AP1B1	2.55639215
CPX-5050	2	AP1S1	4.646313416
CPX-5050	1	AP1G1	5.760059299
CPX-5051	1	AP3B1	0.708604149
CPX-5051	2	AP3D1	2.735994146
CPX-5051	4	AP3M1	4.579694447
CPX-5051	3	AP3S1	5.212091806
CPX-5052	1	AP3B1	0.116597472
CPX-5052	4	AP3M1	2.139559277
CPX-5052	2	AP3D1	2.385770677
CPX-5052	3	AP3S2	6.138278748
CPX-508	2	NR1B1	1.825741858
CPX-508	1	RARA	1.825741858
CPX-508	4	RXRA	4.830458915
CPX-508	3	NR2B1	4.830458915
CPX-51	1	PLN	4
CPX-514	1	BIN1	0
CPX-514	2	MYC	4.898979486
CPX-5149	1	AP2A1	0.071362921
CPX-5149	3	AP2B1	1.515944167
CPX-5149	4	AP2M1	2.131011608
CPX-5149	2	AP2S1	6.531512561
CPX-5150	3	AP2B1	1.284321484
CPX-5150	1	AP2A2	1.436193872
CPX-5150	4	AP2M1	1.978183717
CPX-5150	2	AP2S1	6.636591157
CPX-5151	5	CPX-5151	0
CPX-5151	4	AP4B1	0.827126381
CPX-5151	1	AP4M1	2.990293486
CPX-5151	3	AP4S1	5.776237555
CPX-519	1	GTF2A1	0
CPX-519	2	GTF2A2	4.898979486
CPX-52	1	S100A8	0
CPX-52	3	NOS2	0.019842079
CPX-52	2	S100A9	5.65941164
CPX-530	3	UBE2V2	2.828427125
CPX-530	2	HEL-S-71	4.242640687
CPX-530	1	UBE2N	4.242640687
CPX-538	1	PCNA	4
CPX-54	1	SMAD4	0
CPX-54	2	SMAD1	4.898979486
CPX-550	2	NDC80	1.954503363
CPX-550	1	KNTC2	1.954503363
CPX-550	4	NUF2	2.450974421
CPX-550	3	SPC24	4.138409618
CPX-550	5	SPC25	4.573611429
CPX-56	1	GLI1	0
CPX-56	2	SUFU	4.898979486
CPX-5633	1	PRKAG1	2.065596529
CPX-5633	2	PRKAA1	3.66760474
CPX-5633	3	PRKAB1	4.723590871
CPX-5634	3	EIF4A2	2.906555376
CPX-5634	1	EIF4E	3.463510305
CPX-5634	2	EIF4G1	3.786210805
CPX-5635	1	EIF4G3	0.013264327
CPX-5635	2	EIF4E	0.018117327
CPX-5635	3	EIF4A1	5.662595509
CPX-5636	3	EIF4A2	2.907551682
CPX-5636	1	EIF4G3	3.388297503
CPX-5636	2	EIF4E	4.167301242
CPX-5642	1	SKA3	0
CPX-5642	4	C18orf24	0.792542831
CPX-5642	3	SKA1	0.792542831
CPX-5642	2	SKA2	6.526237825
CPX-5643	6	CPX-5643	0
CPX-5643	4	MIS12	2.619814352
CPX-5643	3	NSL1	4.684737232
CPX-5643	2	C1orf48	4.684737232
CPX-5643	1	PMF1	4.699722622
CPX-5644	1	ZWINT	0
CPX-5644	2	KNL1	4.898979486
CPX-5645	3	ZWINT	0
CPX-5645	13	CPX-5645	0
CPX-5645	6	KNL1	0.490577336
CPX-5645	9	NUF2	0.62342367
CPX-5645	12	SPC25	0.972746513
CPX-5645	1	NDC80	1.175109127
CPX-5645	2	KNTC2	1.175109127
CPX-5645	5	SPC24	2.200612266
CPX-5645	10	MIS12	3.180621984
CPX-5645	7	C1orf48	6.017674401
CPX-5645	8	NSL1	6.017674401
CPX-5645	4	PMF1	6.183989466
CPX-5646	18	CENPH	0
CPX-5646	16	CENPK	0
CPX-5646	14	CENPT	0
CPX-5646	21	CPX-5646	0
CPX-5646	6	CENPU	0
CPX-5646	2	CENPC	0.027588957
CPX-5646	5	CENPP	0.053130177
CPX-5646	7	CENPQ	0.12393494
CPX-5646	15	CENPN	0.394385617
CPX-5646	12	FSHPRH1	2.19487381
CPX-5646	13	CENPI	2.19487381
CPX-5646	10	CENPS	2.535554112
CPX-5646	11	CENPS-CORT	2.535554112
CPX-5646	20	C22orf18	3.34365912
CPX-5646	19	CENPM	3.34365912
CPX-5646	8	CENPL	3.712442114
CPX-5646	9	C1orf155	3.712442114
CPX-5646	4	CENPW	3.928423485
CPX-5646	3	ITGB3BP	5.649033613
CPX-5646	17	CENPO	7.857185506
CPX-5661	1	KRT18	0
CPX-5661	2	KRT8	4.898979486
CPX-5662	1	KRT1	0
CPX-5662	2	KRT10	4.898979486
CPX-5663	3	CPX-5663	0
CPX-5663	1	KRT86	4.898979486
CPX-5664	3	CPX-5664	0
CPX-5664	1	KRT80	4.898979486
CPX-5665	2	KRT25	NA
CPX-5665	3	CPX-5665	NA
CPX-569	3	CHAF1B	0.078627171
CPX-569	2	CHAF1A	3.751552574
CPX-569	1	RBBP4	4.838148235
CPX-5741	1	PHB	3
CPX-5741	2	PHB2	3.872983346
CPX-578	1	CDK7	0
CPX-578	3	MNAT1	0.048136079
CPX-578	2	CCNH	5.664357614
CPX-5786	4	CPX-5786	0
CPX-5786	1	PRKAA1	4.16796745
CPX-5786	3	PRKAB1	4.878675079
CPX-5787	2	PRKAA2	0.019718807
CPX-5787	1	PRKAG1	2.075184548
CPX-5787	3	PRKAB1	5.31252791
CPX-5790	3	PRKAA2	0.221031575
CPX-5790	2	PRKAG1	2.080910031
CPX-5790	1	PRKAB2	5.352756358
CPX-5791	2	PRKAG1	2.075225375
CPX-5791	1	PRKAB2	3.186475393
CPX-5791	3	PRKAA1	5.224509417
CPX-5824	1	PLRG1	0.425618116
CPX-5824	6	CDC5L	0.466051703
CPX-5824	7	CWC15	1.149752152
CPX-5824	2	BCAS2	2.472918324
CPX-5824	5	CTNNBL1	3.190549457
CPX-5824	8	PRPF19	3.788469433
CPX-5824	4	HEL-S-72p	6.258839244
CPX-5824	3	HSPA8	6.258839244
CPX-5834	1	RELA	0
CPX-5834	2	REL	4.898979486
CPX-5840	4	CPX-5840	0
CPX-5840	2	PRKAA2	0.221031575
CPX-5840	1	PRKAB2	5.68347314
CPX-5841	3	PRKAG3	0
CPX-5841	1	PRKAB2	3.34617032
CPX-5841	2	PRKAA1	5.625399635
CPX-5842	4	CPX-5842	0
CPX-5842	1	PRKAA1	4.196238085
CPX-5842	3	PRKAB1	4.870417286
CPX-5843	4	CPX-5843	0
CPX-5843	1	PRKAA2	0.019718807
CPX-5843	3	PRKAB1	5.660111828
CPX-5844	1	PRKAA2	0.019718807
CPX-5844	2	PRKAG2	0.226019095
CPX-5844	3	PRKAB1	5.683025321
CPX-5845	2	PRKAA2	0.221031575
CPX-5845	3	PRKAG2	1.534898743
CPX-5845	1	PRKAB2	5.646426755
CPX-5846	3	PRKAG2	0
CPX-5846	1	PRKAB2	3.299460877
CPX-5846	2	PRKAA1	5.59721692
CPX-5848	8	EMC1	0.021800519
CPX-5848	3	EMC2	0.052891847
CPX-5848	7	MMGT1	0.511577141
CPX-5848	10	EMC7	1.95041259
CPX-5848	6	EMC10	2.697964731
CPX-5848	9	EMC6	3.347122344
CPX-5848	11	EMC3	4.092680327
CPX-5848	2	COX4NB	4.739024277
CPX-5848	1	EMC8	4.739024277
CPX-5848	4	EMC4	5.804389729
CPX-5848	5	TMEM85	5.804389729
CPX-5881	6	EMC1	0.022867378
CPX-5881	1	EMC2	0.050997089
CPX-5881	5	MMGT1	0.551774713
CPX-5881	10	EMC9	1.808825033
CPX-5881	8	EMC7	2.218315949
CPX-5881	4	EMC10	3.223231218
CPX-5881	7	EMC6	3.630375524
CPX-5881	9	EMC3	5.406792572
CPX-5881	3	TMEM85	5.882981538
CPX-5881	2	EMC4	5.882981538
CPX-5901	2	KLRD1	NA
CPX-5901	3	CPX-5901	NA
CPX-5903	2	KLRD1	NA
CPX-5903	3	CPX-5903	NA
CPX-614	4	CPX-614	0
CPX-614	3	INIP	4.05445341
CPX-614	1	INTS3	4.749330545
CPX-631	5	CPX-631	0
CPX-631	1	NR1i1	0
CPX-631	4	RXRA	5.163977795
CPX-631	3	NR2B1	5.163977795
CPX-632	3	NR1H3	3.464101615
CPX-632	2	RXRA	3.872983346
CPX-632	1	NR2B1	3.872983346
CPX-648	5	CPX-648	0
CPX-648	4	DDB2	0.401141651
CPX-648	1	RBX1	0.644267396
CPX-648	3	DDB1	6.443006545
CPX-654	1	THRB	0
CPX-654	3	RXRA	4.898979486
CPX-654	2	NR2B1	4.898979486
CPX-680	2	MAGOHB	1.825741858
CPX-680	1	FLJ10292	1.825741858
