Complex	Index	Subunit	zScore-dis
CPX-1202	13	SMARCD1	0.001562184
CPX-1202	10	DPF3	0.001841849
CPX-1202	8	SMARCC2	0.010398946
CPX-1202	12	SMARCE1	0.019392166
CPX-1202	7	SMARCD3	0.071602266
CPX-1202	4	ACTB	7.796226162
CPX-1202	5	PS1TP5BP1	7.796226162
CPX-1203	2	ACTL6B	0
CPX-1203	3	SMARCA2	0
CPX-1203	10	CPX-1203	0
CPX-1203	1	ARID1A	0.000628411
CPX-1203	8	SMARCD2	0.005452923
CPX-1203	7	SMARCC2	0.008952028
CPX-1203	9	SMARCE1	0.016698314
CPX-1203	4	PS1TP5BP1	6.710822261
CPX-1203	5	ACTB	6.710822261
CPX-1204	3	SMARCA4	0
CPX-1204	13	CPX-1204	0
CPX-1204	9	SMARCC1	0.000225413
CPX-1204	2	ACTL6A	0.000665141
CPX-1204	1	ARID1A	0.000706134
CPX-1204	12	SMARCD1	0.001510731
CPX-1204	10	SMARCD2	0.006125403
CPX-1204	8	SMARCC2	0.010057016
CPX-1204	11	SMARCE1	0.018753588
CPX-1204	7	SMARCD3	0.069246459
CPX-1204	4	ACTB	7.539683291
CPX-1204	5	PS1TP5BP1	7.539683291
CPX-1207	3	SMARCA2	0
CPX-1207	6	SMARCB1	0
CPX-1207	13	CPX-1207	0
CPX-1207	9	SMARCC1	0.000225411
CPX-1207	1	ARID1A	0.000706133
CPX-1207	12	SMARCD1	0.001510728
CPX-1207	10	SMARCD2	0.006125403
CPX-1207	8	SMARCC2	0.010056966
CPX-1207	11	SMARCE1	0.018753559
CPX-1207	7	SMARCD3	0.069245996
CPX-1207	4	ACTB	7.53964943
CPX-1207	5	PS1TP5BP1	7.53964943
CPX-1209	3	SMARCA4	0
CPX-1209	6	SMARCB1	0
CPX-1209	13	CPX-1209	0
CPX-1209	9	SMARCC1	0.000225411
CPX-1209	1	ARID1A	0.000706133
CPX-1209	12	SMARCD1	0.001510728
CPX-1209	10	SMARCD2	0.006125403
CPX-1209	8	SMARCC2	0.010056966
CPX-1209	11	SMARCE1	0.018753559
CPX-1209	7	SMARCD3	0.069245996
CPX-1209	4	ACTB	7.53964943
CPX-1209	5	PS1TP5BP1	7.53964943
CPX-1212	3	SMARCA4	0
CPX-1212	13	CPX-1212	0
CPX-1212	10	SMARCC1	0.000225414
CPX-1212	9	PHF10	0.000347643
CPX-1212	2	ACTL6A	0.000665145
CPX-1212	1	ARID1A	0.000706106
CPX-1212	12	SMARCD1	0.001510733
CPX-1212	8	SMARCC2	0.010056638
CPX-1212	11	SMARCE1	0.01875359
CPX-1212	7	SMARCD3	0.069245223
CPX-1212	4	ACTB	7.539483029
CPX-1212	5	PS1TP5BP1	7.539483029
CPX-1216	3	SMARCA4	0
CPX-1216	6	SMARCB1	0
CPX-1216	9	DPF1	0
CPX-1216	14	CPX-1216	0
CPX-1216	11	SMARCC1	0.000233091
CPX-1216	1	ARID1A	0.000730165
CPX-1216	13	SMARCD1	0.001562184
CPX-1216	10	DPF3	0.001841849
CPX-1216	8	SMARCC2	0.010398946
CPX-1216	12	SMARCE1	0.019392166
CPX-1216	7	SMARCD3	0.071602266
CPX-1216	4	ACTB	7.796226162
CPX-1216	5	PS1TP5BP1	7.796226162
CPX-1219	2	ACTL6B	0
CPX-1219	3	SMARCA4	0
CPX-1219	10	CPX-1219	0
CPX-1219	1	ARID1A	0.000628411
CPX-1219	8	SMARCD2	0.005452923
CPX-1219	7	SMARCC2	0.008952028
CPX-1219	9	SMARCE1	0.016698314
CPX-1219	4	PS1TP5BP1	6.710822261
CPX-1219	5	ACTB	6.710822261
CPX-1222	3	SMARCA4	0
CPX-1222	14	CPX-1222	0
CPX-1222	10	SMARCC1	0.000233092
CPX-1222	2	ACTL6A	0.000687789
CPX-1222	1	ARID1A	0.000730194
CPX-1222	13	SMARCD1	0.001562186
CPX-1222	9	DPF3	0.001841856
CPX-1222	11	SMARCD2	0.006333957
CPX-1222	8	SMARCC2	0.010399355
CPX-1222	12	SMARCE1	0.019392209
CPX-1222	7	SMARCD3	0.07160394
CPX-1222	4	ACTB	7.796458604
CPX-1222	5	PS1TP5BP1	7.796458604
CPX-1225	3	SMARCA2	0
CPX-1225	6	SMARCB1	0
CPX-1225	14	CPX-1225	0
CPX-1225	10	SMARCC1	0.000233091
CPX-1225	1	ARID1A	0.000730193
CPX-1225	13	SMARCD1	0.001562184
CPX-1225	9	DPF3	0.001841849
CPX-1225	11	SMARCD2	0.006333957
CPX-1225	8	SMARCC2	0.010399307
CPX-1225	12	SMARCE1	0.019392182
CPX-1225	7	SMARCD3	0.071603501
CPX-1225	4	ACTB	7.796426511
CPX-1225	5	PS1TP5BP1	7.796426511
CPX-1226	3	SMARCA4	0
CPX-1226	6	SMARCB1	0
CPX-1226	14	CPX-1226	0
CPX-1226	10	SMARCC1	0.000233091
CPX-1226	1	ARID1A	0.000730193
CPX-1226	13	SMARCD1	0.001562184
CPX-1226	9	DPF3	0.001841849
CPX-1226	11	SMARCD2	0.006333957
CPX-1226	8	SMARCC2	0.010399307
CPX-1226	12	SMARCE1	0.019392182
CPX-1226	7	SMARCD3	0.071603501
CPX-1226	4	ACTB	7.796426511
CPX-1226	5	PS1TP5BP1	7.796426511
CPX-1265	4	LAMA1	0.133104128
CPX-1265	3	NID1	4.100225339
CPX-1265	2	LAMC1	4.992713468
CPX-1265	1	LAMB1	5.016608675
CPX-1282	4	LAMA2	2.96386376
CPX-1282	3	NID1	3.861159868
CPX-1282	2	LAMC1	4.652411594
CPX-1282	1	LAMB1	4.745193934
CPX-1285	2	NID1	0.796251813
CPX-1285	3	LAMA2	1.098587107
CPX-1285	1	LAMC1	1.337597162
CPX-1285	4	LAMB2	6.636133721
CPX-1299	2	CEP152	NA
CPX-1299	3	CPX-1299	NA
CPX-130	3	CPX-130	0
CPX-130	1	ANXA2	4.898979486
CPX-1313	3	CPX-1313	0
CPX-1313	1	MIF4GD	4.898979486
CPX-132	3	GET4	1.339794747
CPX-132	1	UBL4A	1.905576205
CPX-132	2	BAG6	5.71280563
CPX-134	1	TARBP2	2.375334139
CPX-134	2	AGO2	3.284775
CPX-134	3	DICER1	5.158452683
CPX-137	4	UFD1L	0.92284144
CPX-137	5	UFD1	0.92284144
CPX-137	2	HEL-S-70	4.048132907
CPX-137	1	VCP	4.048132907
CPX-137	3	NPLOC4	6.548796283
CPX-1427	1	NCBP2	0
CPX-1427	2	NCBP1	4.898979486
CPX-148	1	GLI2	0
CPX-148	2	SUFU	4.898979486
CPX-150	1	GLI3	0
CPX-150	2	SUFU	4.898979486
CPX-155	2	E2F1	0.065141302
CPX-155	1	RB1	2.914165533
CPX-155	3	TFDP1	5.750684407
CPX-156	2	PPP4R2	2.449489743
CPX-156	1	PPP4C	4.242640687
CPX-1605	4	CBLL1	1.8513416
CPX-1605	6	METTL14	2.290926586
CPX-1605	5	METTL3	2.588593265
CPX-1605	1	WTAP	3.308321227
CPX-1605	3	VIRMA	4.209660429
CPX-1605	2	ZC3H13	6.133045569
CPX-1650	1	COL1A1	2.731380172
CPX-1650	2	COL1A2	4.573430895
CPX-1713	1	COL2A1	4
CPX-1714	1	COL3A1	4
CPX-1723	1	COL4A1	0.794366784
CPX-1723	2	COL4A2	5.215356289
CPX-1724	3	CPX-1724	0
CPX-1724	1	COL4A5	4.898979486
CPX-1725	4	CPX-1725	0
CPX-1725	2	COL4A4	2.138089935
CPX-1725	1	COL4A5	5.237229366
CPX-1727	3	CPX-1727	0
CPX-1727	1	COL5A2	4.898979486
CPX-1728	4	CPX-1728	0
CPX-1728	3	COL5A3	1.128650026
CPX-1728	1	COL5A2	5.828307371
CPX-1729	2	CPX-1729	NA
