"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"EXOC5"	"0.766666666666667"	"0"	"6.5"	"0.0833333333333333"	"0.383333333333333"	"0"	"1.26666666666667"	"0"
"EXOC3"	"25.52"	"11.64"	"16.8666666666667"	"19.9066666666667"	"13.72"	"11.0133333333333"	"20.68"	"19.2133333333333"
"EXOC8"	"1.73666666666667"	"1.38666666666667"	"1.25333333333333"	"0.396666666666667"	"1.53333333333333"	"2.14666666666667"	"2.05333333333333"	"1.31333333333333"
"EXOC4"	"8.97"	"0.87"	"6.8"	"9.77"	"9.88"	"4.28333333333333"	"5.87333333333333"	"5.86333333333333"
"EXOC2"	"9.65"	"6.46"	"23.52"	"9.97"	"6.84"	"2.73"	"8.9"	"12.13"
"EXOC1"	"0"	"0"	"0"	"0"	"10.4"	"5.21"	"6.37"	"0"
"EXOC7"	"45.44"	"38.8266666666667"	"103.893333333333"	"0"	"82.6933333333333"	"18.7466666666667"	"51.8933333333333"	"16.1066666666667"
"EXOC6B"	"4.76"	"7"	"2.8"	"2.72"	"3.46666666666667"	"12.3733333333333"	"5.64"	"6.30666666666667"
"CPX-4944"	"0"	"0"	"0"	"0"	"0.383333333333333"	"0"	"1.26666666666667"	"0"
